Год;Месяц;День;Архангельская область;Астраханская область;Белгородская область;Брянская область;Владимирская область;Волгоградская область;Вологодская область;Воронежская область;Ивановская область;Кабардино-Балкарская Республика;Калининградская область;Калужская область;Карачаево-Черкесская Республика;Кировская область;Костромская область;Краснодарский край;Курганская область;Курская область;Ленинградская область;Липецкая область;Московская область;Мурманская область;Нижегородская область;Новгородская область;Оренбургская область;Орловская область;Пензенская область;Пермский край;Псковская область;Республика Башкортостан;Республика Дагестан;Республика Ингушетия;Республика Калмыкия;Республика Карелия;Республика Коми;Республика Крым;Республика Марий Эл;Республика Мордовия;Республика Северная Осетия-Алания;Республика Татарстан;Ростовская область;Рязанская область;Самарская область;Саратовская область;Свердловская область;Смоленская область;Ставропольский край;Тамбовская область;Тверская область;Тульская область;Тюменская область;Удмуртская Республика;Ульяновская область;Челябинская область;Чеченская Республика;Чувашская Республика;Ярославская область
2017;1;1;20125;13396;42106;11610;17750;41927;34933;29679;8562;5115;12292;17134;3396;18978;8531;76929;12342;24795;115609;35190;268463;35994;55108;12285;43015;6898;12530;64828;5681;75997;23084;2452;1932;22980;25069;23175;7165;7631;6681;75039;52053;16742;61361;35961;112143;17573;29150;9999;22538;25756;272292;25368;14900;93371;8447;13552;21785
;;2;21558;13519;41794;11918;18167;43750;37729;29586;8931;5103;12610;17471;3529;20028;9649;76666;12444;24775;121815;35808;275646;38335;57100;12748;44423;7134;12942;65971;5981;77276;23037;2459;1851;23682;26078;22911;7507;7776;6658;76170;52447;16823;62515;36475;114915;17982;28911;10102;23162;26048;273644;26351;15249;96127;8279;13753;22428
;;3;22754;13538;42792;12197;19174;44355;39278;30504;9497;5214;13229;18438;3614;20622;10246;76974;13032;24938;129662;35984;289617;40794;58329;13647;43745;7436;13471;68338;6568;78775;23091;2418;1803;24542;27216;23308;7694;8005;6725;77535;51819;17481;63397;37540;117625;18575;29656;10406;24678;26892;279847;26822;15878;95003;8379;14223;23947
;;4;23632;13631;43464;12802;20961;44849;40187;31310;10473;5242;13657;18823;3772;21766;11297;79365;13121;25301;138226;36209;305088;41610;61736;14332;44690;7696;13950;70843;6857;79209;23294;2470;1853;25485;28277;23596;8410;8241;6781;80302;52302;18195;65343;38514;124465;19006;30483;10641;25912;27706;279787;28104;16353;98671;8407;15033;25729
;;5;24534;13859;43153;12883;20808;45746;41295;31711;10880;5441;14331;19216;3765;22775;11268;77356;13552;25351;145110;36280;310268;42073;62265;14899;45039;7786;14067;72683;7149;80429;23451;2514;1865;25475;28970;23907;8615;8285;6848;82013;53269;18098;66289;39901;126006;19602;30654;10606;26614;27893;283589;29103;16581;100261;8433;15279;26365
;;6;25398;13990;43983;13288;21280;44375;41904;31696;11084;5340;14861;19948;3671;22852;11642;73587;13567;25693;148312;36837;330282;41927;63138;15363;45879;8013;13934;74315;7244;81262;23249;2480;1872;26291;29383;23180;8676;8333;6737;81668;53743;18733;65375;38889;129092;20235;30613;10705;27678;28894;285991;28562;16373;101871;8411;15056;27308
;;7;25310;13379;43864;13160;21289;42590;41287;31475;10954;5396;14770;19741;3472;22797;11490;70782;13301;25792;148219;37285;335234;39688;63316;15148;43682;7996;13643;73835;7515;79441;23237;2487;1864;26320;29077;22699;8520;8267;6553;81099;51198;18710;64242;38158;127943;20405;29461;10556;28234;28997;283475;27938;16126;98850;8546;15096;27408
;;8;24995;13487;44681;13634;21927;43531;41991;32955;11696;5256;14928;20825;3515;23376;11949;75459;13725;26101;145660;38180;348874;38653;65742;15114;44549;8285;13589;76084;7768;80145;23190;2490;1849;25817;29492;24278;8789;8625;6625;83113;52604;19552;65778;38326;128565;21032;29789;10873;29186;29575;284170;28831;16392;100865;8480;15449;27970
;;9;25252;14152;45908;15260;24930;47420;42494;35093;13357;5652;15941;23233;3736;25862;13087;80759;14917;27243;150993;39935;379053;38586;70040;15558;47646;9349;16069;81225;8172;85780;23902;2513;1887;25203;30074;26524;9409;9410;7083;90199;57052;21877;73862;42515;138842;22143;32208;12098;30979;31881;289389;32479;18994;105072;8687;17220;30386
;;10;24189;14360;46135;15553;24508;48348;40192;35215;13100;5656;15989;22729;3803;25787;12620;82181;15197;26910;148862;39949;371649;39341;70421;15151;47528;9800;16017;81232;8002;86902;23946;2535;1898;24368;29525;26799;9625;9862;7000;91178;57895;22069;74843;41901;139492;22532;32665;12332;29568;32293;291061;32862;18975;104935;8476;17197;29126
