Год;Месяц;День;Алтайский край;Забайкальский край;Иркутская область;Кемеровская область;Красноярский край;Новосибирская область;Омская область;Республика Бурятия;Республика Тыва;Республика Хакасия;Томская область
2017;1;1;29382;25358;163894;84794;127843;45412;30221;17169;2876;46758;24286
;;2;30062;26196;163810;88210;130333;46319;30613;17942;2904;47106;24667
;;3;31118;25658;163362;88883;130879;47149;31171;17970;2846;47185;25214
;;4;31861;25625;162414;89833;130786;47876;31970;18133;2985;47359;25375
;;5;31847;26252;162483;90650;130192;47939;31543;17724;3006;47028;25309
;;6;32631;25930;161823;91674;131425;48531;33318;17782;3037;47254;26126
;;7;32784;25400;162117;91555;135819;49237;32130;17585;3043;47568;26451
;;8;32571;25634;167156;93017;137529;49237;32188;18021;3106;47810;26379
;;9;34749;25968;173277;94517;140085;53587;35458;19078;3085;48089;27091
;;10;36215;25592;175336;94863;140305;55225;36328;18788;3091;47875;27905
;;11;35669;25656;175350;95259;141858;54450;36159;19407;3074;48261;28158
;;12;35832;26303;174026;94330;141177;54652;36211;18913;3129;48688;27829
;;13;36200;26116;172841;95793;140057;55300;36472;19130;3067;48416;28228
;;14;34580;25617;170409;96424;139069;52934;34637;18906;3081;48133;27892
;;15;34237;25172;169570;96651;139296;52465;34125;18794;3088;47721;28149
;;16;36021;25529;172992;98746;144247;55703;36285;19910;3142;48780;28800
;;17;36746;26671;173732;97417;146178;56222;36962;19094;3120;49594;28116
;;18;37552;25739;175146;97180;143998;56233;36795;19760;3187;49214;27813
;;19;37132;26202;174437;97051;141869;56317;37680;19578;3170;49232;27928
;;20;36467;25711;174085;96510;143121;55151;36788;19419;3169;49407;27888
;;21;34203;26113;174781;92800;138893;51562;35086;19265;3155;48544;26714
;;22;33319;26076;172904;91789;135631;51422;34031;19084;3127;48339;26309
;;23;35101;26158;173138;93817;135866;53768;35110;19820;3136;48570;26863
;;24;36089;26539;170894;93596;136735;54484;36032;19593;3113;48549;27139
;;25;36314;25623;168230;94626;137678;54713;36148;19402;3070;48338;27367
;;26;36044;26176;168843;94890;138123;54649;36775;19033;3052;48307;27749
;;27;36367;25720;169244;96835;141610;55782;36107;18847;3037;48842;28192
